,,,,,,,,,Score,,,,Passing,,,,,,,,,,Rushing,,,,Total Offense,,,Kicking,,,,Punting,,First Downs,,,,Downs,,,,Penalties,,Turnovers,,,
Tm,Div,Rk,Gtm,Week,Date,Day,Home/Away,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,Yds,Att,Yds,TD,Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen,Yds,FL,Int,TO,ToP
Dallas Cowboys,NFC EAST,5,5,5,10/9/2022,Sun,Away,LAR,W,22,10,,10,16,62.5,76,0,4.8,4.75,74,3,26,34,163,1,4.8,53,239,4.51,3,3,1,1,6,288,4,6,0,10,5,15,0,0,5,42,0,0,0,29:30:00
Dallas Cowboys,NFC EAST,6,6,6,10/16/2022,Sun,Away,PHI,L,17,26,,18,38,47.4,181,1,4.8,1.74,37.3,0,0,26,134,1,5.2,64,315,4.92,2,1,2,2,2,119,12,8,1,21,4,10,0,1,10,72,0,3,3,25:30:00
Dallas Cowboys,NFC EAST,7,7,7,10/23/2022,Sun,Home,DET,W,24,6,,19,25,76,191,1,7.6,8.44,110.6,2,16,32,139,2,4.3,59,330,5.59,1,1,3,3,5,243,10,8,3,21,3,9,0,0,7,55,1,0,1,28:46:00
Dallas Cowboys,NFC EAST,8,8,8,10/30/2022,Sun,Home,CHI,W,49,29,,21,27,77.8,242,2,9,8.78,113.3,1,8,29,200,4,6.9,57,442,7.75,0,0,7,7,2,142,15,9,0,24,9,11,0,0,6,41,0,1,1,23:56
Dallas Cowboys,NFC EAST,9,9,10,11/13/2022,Sun,Away,GNB,L,28,31,OT,27,46,58.7,262,3,5.7,5.04,78.4,2,3,31,159,1,5.1,79,421,5.33,0,0,4,4,5,246,13,10,1,24,5,15,2,3,9,83,0,2,2,30:59:00
Dallas Cowboys,NFC EAST,10,10,11,11/20/2022,Sun,Away,MIN,W,40,3,,26,30,86.7,307,2,10.2,11.57,131.5,0,0,40,151,2,3.8,70,458,6.54,4,4,4,4,2,101,11,12,0,23,12,17,0,0,6,39,0,0,0,37:24:00
Dallas Cowboys,NFC EAST,11,11,12,11/24/2022,Thu,Home,NYG,W,28,20,,21,30,70,261,2,8.7,7.03,91.1,0,0,39,169,2,4.3,69,430,6.23,1,0,4,4,1,51,13,10,3,26,7,11,0,1,13,86,0,2,2,34:09:00
Dallas Cowboys,NFC EAST,12,12,13,12/4/2022,Sun,Home,IND,W,54,19,,20,30,66.7,165,3,5.5,6,100,1,5,34,220,4,6.5,65,385,5.92,0,0,7,6,4,198,11,10,2,23,7,13,1,1,3,43,0,1,1,28:41:00
Dallas Cowboys,NFC EAST,13,13,14,12/11/2022,Sun,Home,HOU,W,27,23,,24,39,61.5,277,1,7.1,5.31,70.1,1,7,31,127,2,4.1,71,404,5.69,2,2,3,3,3,157,11,10,0,21,8,15,1,2,3,10,1,2,3,26:46:00
Dallas Cowboys,NFC EAST,14,14,15,12/18/2022,Sun,Away,JAX,L,34,40,OT,23,30,76.7,243,3,8.1,7.1,105.3,3,13,41,154,1,3.8,74,397,5.36,2,2,4,4,4,185,14,9,1,24,9,16,0,0,2,18,0,2,2,35:26:00
